tournament,game,time,road_team,road_score,home_team,home_score
ACC Tournament,"- Game 1 (Durham, NC)",05/23 11:00 AMFINAL,Virginia Tech,7,Boston College,11
ACC Tournament,"- Game 2 (Durham, NC)",05/23 3:30 PMFINAL,Georgia Tech,5,North Carolina,11
ACC Tournament,"- Game 3 (Durham, NC)",05/23 7:00 PMFINAL (11),NC State,8,Duke,7
ACC Tournament,"- Game 4 (Durham, NC)",05/24 11:00 AM,Pittsburgh,,Notre Dame,
ACC Tournament,"- Game 5 (Durham, NC)",05/24 3:00 PM,Georgia Tech,,Virginia,
ACC Tournament,"- Game 6 (Durham, NC)",05/24 7:00 PM,Virginia Tech,,Clemson,
ACC Tournament,"- Game 7 (Durham, NC)",05/25 11:00 AM,Pittsburgh,,Wake Forest,
ACC Tournament,"- Game 8 (Durham, NC)",05/25 3:00 PM,North Carolina,,Virginia,
ACC Tournament,"- Game 9 (Durham, NC)",05/25 7:00 PM,NC State,,Miami,
ACC Tournament,"- Game 10 (Durham, NC)",05/26 11:00 AM,Boston College,,Clemson,
ACC Tournament,"- Game 11 (Durham, NC)",05/26 3:00 PM,Duke,,Miami,
ACC Tournament,"- Game 12 (Durham, NC)",05/26 7:00 PM,Notre Dame,,Wake Forest,
America East Tournament,"- Game 1 (Binghamton, NY)",05/24 1:00 PM,UMass Lowell,,Bryant,
America East Tournament,"- Game 2 (Binghamton, NY)",05/24 5:00 PM,New Jersey Tech,,Binghamton,
America East Tournament,"- Game 3 (Binghamton, NY)",05/25 11:00 AM,TBA,,Maine,
America East Tournament,"- Game 4 (Binghamton, NY)",05/25 3:00 PM,TBA,,UMBC,
American Athletic Tournament,"- Game 1 (Clearwater, FL)",05/23 9:00 AMFINAL,Cincinnati,3,UCF,4
American Athletic Tournament,"- Game 2 (Clearwater, FL)",05/23 12:30 PMFINAL (11),South Florida,12,East Carolina,11
American Athletic Tournament,"- Game 3 (Clearwater, FL)",05/23 5:30 PMFINAL,Tulane,10,Houston,8
American Athletic Tournament,"- Game 4 (Clearwater, FL)",05/23 7:30 PMFINAL,Memphis,10,Wichita State,6
American Athletic Tournament,"- Game 5 (Clearwater, FL)",05/24 3:00 PM,Cincinnati,,East Carolina,
American Athletic Tournament,"- Game 6 (Clearwater, FL)",05/24 6:30 PM,Wichita State,,Houston,
American Athletic Tournament,"- Game 7 (Clearwater, FL)",05/25 1:00 PM,South Florida,,UCF,
American Athletic Tournament,"- Game 8 (Clearwater, FL)",05/25 4:30 PM,Tulane,,Memphis,
Atlantic 10 Tournament,"A10 Tournament - Game 1 (Richmond, VA)",05/23 11:00 AMFINAL,Richmond,3,Saint Louis,6
Atlantic 10 Tournament,"A10 Tournament - Game 2 (Richmond, VA)",05/23 3:00 PMFINAL,Rhode Island,4,Davidson,8
Atlantic 10 Tournament,"A10 Tournament - Game 3 (Richmond, VA)",05/23 7:00 PMFINAL (11),George Mason,5,Dayton,4
Atlantic 10 Tournament,"A10 Tournament - Game 4 (Richmond, VA)",05/24 11:00 AM,Saint Louis,,Saint Joseph's,
Atlantic 10 Tournament,"A10 Tournament - Game 5 (Richmond, VA)",05/24 3:00 PM,George Mason,,Davidson,
Atlantic 10 Tournament,"A10 Tournament - Game 6 (Richmond, VA)",05/24 7:00 PM,Rhode Island,,Richmond,
Atlantic 10 Tournament,"A10 Tournament - Game 7 (Richmond, VA)",05/25 11:00 AM,TBA,,Dayton,
